label_id	Predicted Archetype_archetype_CFOR_classifications
1	1
2	1
3	1
4	2
5	1
6	1
7	1
8	2
9	3
10	1
11	1
12	2
13	1
14	1
15	2
16	2
17	2
18	2
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	2
27	2
28	1
29	1
30	1
31	2
32	1
33	2
34	1
35	1
36	1
37	3
38	2
39	1
40	1
41	1
42	3
43	2
44	2
45	1
46	2
47	1
48	2
49	1
50	1
51	2
52	2
53	1
54	1
55	1
56	2
57	1
58	1
59	2
60	1
61	2
62	2
63	2
64	2
65	2
66	1
67	2
68	2
69	1
70	1
71	1
72	1
73	2
74	1
75	2
76	2
77	1
78	2
79	1
80	2
81	1
82	1
83	2
84	2
85	1
86	1
87	2
88	2
89	1
90	1
91	3
92	1
93	1
94	2
95	2
96	2
97	2
98	2
99	4
100	1
101	1
102	1
103	2
104	4
105	1
106	4
107	2
108	2
109	2
110	2
111	2
112	4
113	4
114	4
115	4
116	4
117	4
118	4
