label_id	Annotated Archetype
1	1.0
2	
3	1.0
4	1.0
5	
6	
7	
8	3.0
9	
10	
11	3.0
12	
13	1.0
14	
15	
16	1.0
17	
18	
19	
20	
21	
22	
23	2.0
24	2.0
25	1.0
26	
27	1.0
28	3.0
29	
30	
31	
32	1.0
33	
34	
35	
36	
37	
38	
39	
40	
41	
42	
43	
44	2.0
45	
46	2.0
47	
48	
49	
50	
51	
52	
53	
54	1.0
55	
56	
57	
58	
59	2.0
60	
61	
62	
63	
64	
65	
66	
67	
68	
69	
70	
71	
72	2.0
73	
74	
75	
76	
77	
78	
79	
80	3.0
81	
82	
83	
84	2.0
85	2.0
86	
87	
88	
89	3.0
90	
91	
92	4.0
93	3.0
94	
95	4.0
96	
97	
98	
99	2.0
100	2.0
101	
102	
103	4.0
104	
105	4.0
106	
107	
108	
109	
