label_id	Annotated Archetype
1	
2	
3	
4	1.0
5	1.0
6	1.0
7	1.0
8	
9	1.0
10	
11	
12	
13	
14	
15	
16	1.0
17	
18	1.0
19	2.0
20	
21	
22	1.0
23	
24	2.0
25	
26	
27	
28	
29	
30	2.0
31	
32	
33	2.0
34	
35	1.0
36	
37	
38	
39	
40	
41	
42	
43	2.0
44	
45	4.0
46	4.0
47	3.0
48	
49	
50	
51	
52	
53	
54	
55	
56	
57	
58	
59	
60	
61	
62	2.0
63	
64	
65	
66	
67	
68	
69	
70	
71	3.0
72	
73	
74	2.0
75	3.0
76	
77	
78	
79	
80	
81	
82	
83	
84	
85	2.0
86	
87	
88	
89	
90	
91	
92	
93	
94	
95	
96	
97	2.0
98	
99	
100	
101	
102	
103	
104	
105	
106	
