label_id	Predicted Archetype_archetype_CFOR_classifications
1	2
2	2
3	1
4	1
5	2
6	1
7	1
8	1
9	2
10	2
11	2
12	1
13	2
14	1
15	1
16	1
17	2
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	1
31	1
32	2
33	1
34	1
35	2
36	2
37	1
38	1
39	1
40	1
41	1
42	1
43	2
44	4
45	1
46	1
47	4
48	1
49	1
50	1
51	1
52	2
53	1
54	1
55	4
56	2
57	2
58	1
59	3
60	4
61	2
62	4
63	1
64	4
65	1
66	1
67	2
68	1
69	2
70	1
71	1
72	2
73	2
74	1
75	1
76	1
77	1
78	2
79	2
80	1
81	2
82	1
83	1
84	1
85	4
86	1
87	1
88	1
89	1
90	1
91	2
92	2
93	2
94	2
95	2
96	1
97	1
98	1
99	1
100	1
101	1
102	4
103	2
104	2
105	2
106	2
107	2
108	2
109	1
110	2
111	4
112	1
113	2
114	1
115	2
116	2
117	2
118	2
119	4
120	2
121	2
122	2
123	2
124	1
125	2
126	2
127	2
128	2
129	2
130	3
131	2
132	4
133	4
134	1
135	1
136	2
137	2
138	2
139	2
140	1
141	4
142	2
143	2
144	2
145	4
146	2
147	4
148	2
149	4
150	4
151	2
