label_id	Annotated Archetype
1	
2	
3	
4	1.0
5	
6	
7	3.0
8	1.0
9	
10	1.0
11	1.0
12	1.0
13	3.0
14	
15	
16	
17	
18	
19	
20	
21	
22	
23	
24	
25	
26	
27	
28	
29	
30	1.0
31	
32	
33	3.0
34	
35	3.0
36	
37	
38	
39	2.0
40	
41	
42	
43	
44	1.0
45	2.0
46	
47	
48	2.0
49	2.0
50	
51	
52	
53	
54	
55	
56	
57	
58	
59	2.0
60	
61	
62	
63	
64	
65	
66	
67	
68	
69	3.0
70	
71	
72	
73	
74	
75	
76	
77	
78	
79	3.0
80	
81	
82	
83	2.0
84	
85	4.0
86	
87	
88	4.0
89	2.0
90	
91	
92	
93	
94	4.0
95	4.0
96	2.0
97	
98	2.0
99	2.0
100	2.0
101	2.0
102	4.0
