label_id	Predicted Archetype
1	1
2	2
3	1
4	2
5	2
6	1
7	4
8	2
9	1
10	1
11	2
12	1
13	2
14	1
15	2
16	2
17	1
18	1
19	1
20	2
21	2
22	2
23	1
24	2
25	2
26	1
27	1
28	2
29	1
30	2
31	3
32	1
33	1
34	4
35	2
36	2
37	2
38	1
39	1
40	2
41	2
42	2
43	1
44	1
45	4
46	1
47	1
48	1
49	1
50	2
51	2
52	1
53	2
54	1
55	3
56	2
57	1
58	2
59	2
60	1
61	1
62	1
63	1
64	2
65	1
66	1
67	2
68	1
69	1
70	1
71	2
72	3
73	1
74	2
75	2
76	4
77	2
78	2
79	1
80	2
81	1
82	1
83	1
84	2
85	1
86	2
87	1
88	2
89	3
90	1
91	1
92	1
93	2
94	2
95	1
96	2
97	2
98	2
99	1
100	1
101	2
102	1
103	1
104	2
105	2
106	2
107	4
108	1
109	1
110	1
111	2
112	2
113	2
114	2
115	2
116	2
117	2
118	4
119	1
120	2
121	1
122	1
123	2
124	4
125	3
126	1
127	2
128	2
129	2
130	2
131	2
132	2
133	4
134	2
135	2
136	3
137	2
138	2
139	2
140	2
141	1
142	2
