label_id	Predicted Archetype_archetype_CFOR_classifications
1	1
2	1
3	1
4	1
5	2
6	1
7	1
8	2
9	2
10	2
11	1
12	1
13	2
14	1
15	2
16	2
17	2
18	1
19	2
20	2
21	2
22	1
23	1
24	2
25	1
26	2
27	2
28	2
29	1
30	2
31	2
32	2
33	2
34	3
35	2
36	1
37	1
38	2
39	1
40	4
41	1
42	4
43	2
44	2
45	2
46	2
47	2
48	2
49	2
50	4
51	4
52	2
53	2
54	4
55	2
56	2
57	4
58	2
59	2
