label_id	Annotated Archetype
1	
2	1.0
3	1.0
4	
5	
6	
7	
8	1.0
9	
10	
11	
12	4.0
13	
14	
15	
16	
17	2.0
18	
19	3.0
20	2.0
21	
22	
23	
24	2.0
25	
26	4.0
27	
28	
29	
30	4.0
31	1.0
32	
33	
34	
35	
36	
37	
38	
39	
40	
41	
42	
43	2.0
44	
45	
46	
47	
48	
49	
50	3.0
51	
52	
53	2.0
54	2.0
55	
56	
57	
58	
59	
60	2.0
61	
62	
63	1.0
64	1.0
65	
66	
67	
68	
69	
70	
71	
72	
73	
74	
75	
76	
77	2.0
78	
79	
80	3.0
81	
82	
83	
84	
85	
86	
87	
88	
89	3.0
90	2.0
91	3.0
92	2.0
93	2.0
94	
95	
96	
97	
98	2.0
99	
100	2.0
101	
102	
103	
104	
