label_id	Annotated Archetype
1	
2	
3	
4	1.0
5	1.0
6	
7	
8	
9	
10	
11	
12	1.0
13	
14	
15	1.0
16	1.0
17	
18	
19	
20	
21	
22	
23	
24	1.0
25	
26	
27	
28	
29	
30	
31	
32	
33	
34	
35	1.0
36	
37	
38	
39	
40	
41	2.0
42	
43	
44	
45	
46	1.0
47	
48	
49	
50	2.0
51	2.0
52	
53	
54	
55	
56	
57	
58	3.0
59	
60	
61	2.0
62	
63	
64	3.0
65	
66	
67	
68	
69	
70	
71	
72	
73	
74	
75	
76	
77	
78	2.0
79	
80	3.0
81	
82	
83	
84	
85	
86	
87	
88	4.0
89	
90	2.0
91	
92	
93	
94	
95	3.0
96	
97	
98	4.0
99	
100	4.0
101	
102	
103	4.0
104	2.0
105	
106	2.0
