label_id	Annotated Archetype
1	
2	
3	
4	
5	1.0
6	1.0
7	1.0
8	
9	1.0
10	
11	
12	
13	
14	
15	
16	
17	
18	1.0
19	
20	
21	1.0
22	
23	
24	
25	
26	
27	
28	
29	
30	
31	
32	
33	
34	
35	
36	4.0
37	
38	
39	
40	4.0
41	
42	
43	
44	
45	
46	
47	
48	
49	
50	
51	
52	
53	
54	
55	
56	
57	
58	
59	
60	
61	
62	
63	1.0
64	
65	
66	
67	
68	1.0
69	
70	
71	
72	
73	2.0
74	2.0
75	3.0
76	
77	
78	
79	
80	2.0
81	
82	
83	
84	
85	
86	
87	3.0
88	
89	
90	
91	
92	
93	
94	
95	
96	
97	
98	
99	
100	4.0
101	
102	
103	
104	
105	3.0
106	
107	
108	
109	
110	
111	
112	
113	
114	
115	
116	
117	
118	3.0
119	
120	
121	
122	2.0
123	
124	
125	
126	2.0
127	2.0
128	
129	2.0
130	2.0
131	3.0
132	
133	2.0
134	
135	2.0
136	
137	
138	
